# Columns: ZIP/Location,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"Mérida::Yucatán::Mexico",2.0,4,969,20.9700,-89.6200,0,"Mérida",""
"Cañitas::Zacatecas::Mexico",4.3,2,712,23.6000,-102.7200,0,"Cañitas",""
"00053",1.0,1,2044,26.4723,-80.5527,0,"Southwest Palm Beach Co","FL"
"32312",2.0,1,1966,30.6026,-84.2422,0,"Tallahassee","FL"
"32832",1.0,1,2079,28.4010,-81.1711,0,"Orlando","FL"
"33073",1.0,1,2071,26.2985,-80.1827,0,"Pompano Beach","FL"
"33172",1.0,1,2035,25.7881,-80.3608,0,"Miami","FL"
"71301",1.0,1,1533,31.2520,-92.4757,0,"Alexandria","LA"
"72450",1.0,1,2096,36.0767,-90.5209,0,"Paragould","AR"
"73034",1.0,1,1903,35.7023,-97.4285,0,"Edmond","OK"
"74136",2.0,1,1957,36.0618,-95.9410,0,"Tulsa","OK"
"74361",1.0,1,1988,36.2702,-95.3070,0,"Pryor","OK"
"75040",1.0,1,1604,32.9285,-96.6200,0,"Garland","TX"
"75060",1.0,1,1586,32.7987,-96.9527,0,"Irving","TX"
"75067",2.0,1,1609,33.0150,-97.0040,0,"Lewisville","TX"
"75703",1.0,1,1550,32.2394,-95.3256,0,"Tyler","TX"
"76109",1.0,1,1571,32.7009,-97.3837,0,"Fort Worth","TX"
"76502",3.1,1,1393,31.0841,-97.4059,0,"Temple","TX"
"77041",1.0,1,1287,29.8610,-95.5805,0,"Houston","TX"
"77901",1.0,1,1147,28.8075,-96.9890,0,"Victoria","TX"
"78003",2.0,1,1239,29.7225,-99.0935,0,"Bandera","TX"
"78114",3.4,1,1173,29.1393,-98.2120,0,"Floresville","TX"
"78414",1.0,2,1016,27.6602,-97.3678,0,"Corpus Christi","TX"
"78666",1.0,1,1256,29.8824,-97.9795,0,"San Marcos","TX"
"78701",1.0,1,1300,30.2704,-97.7421,0,"Austin","TX"
"78705",1.0,1,1303,30.2924,-97.7386,0,"Austin","TX"
"78739",1.0,1,1290,30.1789,-97.8889,0,"Austin","TX"
"79414",1.0,1,1696,33.5486,-101.9194,0,"Lubbock","TX"
"79836",2.0,1,1627,31.5039,-106.0952,0,"Clint","TX"
"79901",1.0,1,1670,31.7604,-106.4799,0,"El Paso","TX"
"85008",1.0,1,2134,33.4647,-111.9872,0,"Phoenix","AZ"
"85048",1.0,1,2127,33.3269,-112.0593,0,"Phoenix","AZ"
"85701",1.0,1,1967,32.2166,-110.9702,0,"Tucson","AZ"
"85705",2.0,1,1973,32.2719,-110.9925,0,"Tucson","AZ"
"85746",1.0,1,1961,32.0674,-111.0772,0,"Tucson","AZ"
"87106",2.0,1,2000,35.0600,-106.6219,0,"Albuquerque","NM"
