,Network,Station,Channel,Location,Distance,Azimuth,Phase,ArrivalTime,Status,Residual,WeightGI RETA HHZ --,2.0272,105.19,Pn,2017-09-08T04:49:53.1Z,manual,-0.2,0
128,IU CTAO BHZ 10,122.86200000000001,255.81099999999998,PKPdf,2017-09-08T05:08:09.24Z,automatic,1.0,0.97,,,,,,,,,,
129,AU TOO BHZ --,123.35600000000001,234.947,PKPdf,2017-09-08T05:08:12.12Z,automatic,2.9,0.96,,,,,,,,,,
130,TW SSLB BHZ --,128.624,318.29900000000004,PKPdf,2017-09-08T05:08:19.16Z,automatic,0.1,0.85,,,,,,,,,,
131,GE KIBK BHZ --,130.799,79.7197,PKPpre,2017-09-08T05:08:15.41Z,automatic,0.6,0.0,,,,,,,,,,
132,IN SHL HHZ --,139.248,352.315,PKPdf,2017-09-08T05:08:35.63Z,automatic,-2.9,0.81,,,,,,,,,,
133,MM KTN HHZ --,141.585,339.88800000000003,PKPdf,2017-09-08T05:08:44.75Z,automatic,1.9,0.82,,,,,,,,,,
134,II ABPO BHZ 10,142.505,101.39200000000001,PKPdf,2017-09-08T05:08:44.72Z,automatic,0.2,0.83,,,,,,,,,,
135,IU CHTO BHZ 10,144.097,339.37300000000005,PKPdf,2017-09-08T05:08:45.82Z,automatic,-1.3,0.83,,,,,,,,,,
136,II KAPI BHZ 10,145.616,283.697,PKPdf,2017-09-08T05:08:51.14Z,automatic,1.5,0.84,,,,,,,,,,
137,IU NWAO BHZ 10,146.774,232.392,PKPdf,2017-09-08T05:08:52.77Z,automatic,1.2,0.83,,,,,,,,,,
138,IU MBWA BHZ 10,147.68200000000002,254.53099999999998,PKPdf,2017-09-08T05:08:53.69Z,automatic,0.6,0.83,,,,,,,,,,
139,II MSEY BHZ 10,147.988,74.0305,PKPab,2017-09-08T05:09:00.97Z,automatic,1.2,0.95,,,,,,,,,,
